"company","org_group"
"Bristol West Preferred Ins Co","FARMERS INS GRP"
"GEICO Ind Co","BERKSHIRE HATHAWAY GRP"
"Progressive Advanced Ins Co","PROGRESSIVE GRP"
"Safeway Ins Co of LA","SAFEWAY INS GRP"
"Dairyland County Mutual Ins Co","SENTRY INS GRP"
"Allstate Ind Co","ALLSTATE INS GRP"
"Mountain Laurel Assurance Co","PROGRESSIVE GRP"
"Viking Ins Co of WI","SENTRY INS GRP"
"Progressive Universal Ins Co","PROGRESSIVE GRP"
"Direct General Ins Co of MS","ALLSTATE INS GRP"
"Progressive Direct Ins Co","PROGRESSIVE GRP"
"Progressive Max Ins Co","PROGRESSIVE GRP"
"Sentry Ins Co","SENTRY INS GRP"
"Direct General Ins Co","ALLSTATE INS GRP"
"Progressive County Mutl Ins Co","PROGRESSIVE GRP"
"Dairyland Ins Co","SENTRY INS GRP"
"Peak P&C Ins Corp","SENTRY INS GRP"
"Permanent General Assr Corp","SENTRY INS GRP"
"Progressive Select Ins Co","PROGRESSIVE GRP"
"Infinity Ins Co","Kemper Corp Grp"
"State Farm Fire & Casualty Co","STATE FARM GRP"
"Safeway Ins Co of GA","SAFEWAY INS GRP"
"Progressive Marathon Ins Co","PROGRESSIVE GRP"
"Safeway Ins Co","SAFEWAY INS GRP"
"Bristol West Ins Co","FARMERS INS GRP"
"MGA Ins Co","STATE FARM GRP"
"Progressive Premier Ins Co","PROGRESSIVE GRP"
"American Access Casualty Co","Kemper Corp Grp"
"Progressive Paloverde Ins Co","PROGRESSIVE GRP"
"United Financial Casualty Co","PROGRESSIVE GRP"
"Safeway Ins Co of AL Inc","SAFEWAY INS GRP"
