company,group
Erie Ins Exchange,ERIE INS GRP
Concord General Mutual Ins Co,AUTO OWNERS GRP
Nationwide Mutual Ins Co,NATIONWIDE CORP GRP
Farmers Group P&C Ins Co,FARMERS INS GRP
Safety Ins Co,SAFETY GRP
Amer Farmers & Ranchers Mutl,American Farmers & Ranchers Grp
GEICO Ind Co,BERKSHIRE HATHAWAY GRP
Allstate P&C Ins Co,ALLSTATE INS GRP
MMG Ins Co,MMG Ins Co
Auto-Owners Ins Co,AUTO OWNERS GRP
Farmers Ins Co of Oregon,FARMERS INS GRP
Root Ins Co,Root Inc Grp
Enumclaw P&C Ins Co,MUTUAL OF ENUMCLAW GRP
Nationwide P&C Ins Co,NATIONWIDE CORP GRP
PA National Mutual Cas Ins Co,PENNSYLVANIA NATL INS GRP
State Farm Ind Co,STATE FARM GRP
Mercury Ind Co of GA,MERCURY GEN GRP
KY Farm Bureau Mutual Ins Co,KENTUCKY FARM BUREAU GRP
Atlantic States Ins Co,DONEGAL GRP
Meemic Ins Co,AUTOMOBILE CLUB MI GRP
GEICO General Ins Co,BERKSHIRE HATHAWAY GRP
Safeco Ins Co of IL,LIBERTY MUT GRP
Patrons Co-op Fire Ins Co,Patrons Co-op Fire Ins Co
Nationwide Ins Co of Am,NATIONWIDE CORP GRP
North Star Mutual Ins Co,NORTH STAR CO GRP
Owners Ins Co,AUTO OWNERS GRP
Farmers Mutual Ins Co of NE,Farmers Mutual Ins Co of NE
Southern Farm Bureau Cas Ins,SOUTHERN FARM BUREAU CAS GRP
Auto Club Ins Assn,AUTOMOBILE CLUB MI GRP
Equity Ins Co,Home State Ins Grp
Untd Farm Family Mutual Ins Co,INDIANA FARM BUREAU Grp
Travelers Personal Sec Ins Co,Travelers Grp
Progressive Advanced Ins Co,PROGRESSIVE GRP
Farmers Ins Co,FARMERS INS GRP
Old Guard Ins Co,WESTFIELD Grp
NY Central Mutual Fire Ins Co,NYCM Ins Grp
GEICO County Mutual Ins Co,BERKSHIRE HATHAWAY GRP
Progressive Direct Ins Co,PROGRESSIVE GRP
Tradewind Ins Co Ltd.,ISLAND INS CO GRP
United Ins Co,United Ins Co
American Select Ins Co,WESTFIELD Grp
PEMCO Mutual Ins Co,PEMCO Mutual Ins Co
Farmers New Century Ins Co,FARMERS INS GRP
Foremost Ins Co Grand Rapids,FARMERS INS GRP
Progressive Max Ins Co,PROGRESSIVE GRP
Farm Bureau Town & Country Ins,MISSOURI FARM BUREAU GRP
Wadena Ins Co,IMT Mut Holding Grp
CSAA General Ins Co,CSAA Ins Grp
Key Ins Co,Key Ins Co
Government Employees Ins Co,BERKSHIRE HATHAWAY GRP
First National Ins Co of Am,LIBERTY MUT GRP
Mercury Ind Co of Am,MERCURY GEN GRP
CSAA Ins Exchange,CSAA Ins Grp
Preferred Mutual Ins Co,Preferred Mutual Ins Co
Progressive Premier Ins Co,PROGRESSIVE GRP
Farmers Casualty Ins Co,FARMERS INS GRP
Travelers Property Cas Ins Co,Travelers Grp
Plymouth Rock Assurance Corp,PLYMOUTH ROCK INS GRP
Colorado Farm Bureau Ins Co,SOUTHERN FARM BUREAU CAS GRP
Progressive Garden State Ins,PROGRESSIVE GRP
Progressive Marathon Ins Co,PROGRESSIVE GRP
Mercury Casualty Co,MERCURY GEN GRP
Donegal Mutual Ins Co,DONEGAL GRP
Cincinnati Ins Co,CINCINNATI FIN GRP
Home-Owners Ins Co,AUTO OWNERS GRP
Acuity A Mutual Ins Co,Acuity A Mutual Ins Co
Germania Fire & Casualty Co,GERMANIA INS GRP
Illinois Farmers Ins Co,FARMERS INS GRP
Travelers Commercial Ins Co,Travelers Grp
St. Paul Protective Ins Co,Travelers Grp
Nationwide General Ins Co,NATIONWIDE CORP GRP
COUNTRY Preferred Ins Co,Country Ins & Fin Serv Grp
Allstate Ind Co,ALLSTATE INS GRP
LA Farm Bureau Mutual Ins Co,LA Farm Bureau Mutual Ins Co
InterIns Exchange,Auto Club Enterprises Ins Grp
OK Farm Bureau Mutual Ins Co,OKLAHOMA FARM BUREAU GRP
NJ Manufacturers Ins Co,NEW JERSEY MANUFACTURERS GRP
Farmers Automobile Ins Assn,PEKIN INS GRP
Travelers Home & Marine Ins Co,Travelers Grp
Norfolk & Dedham Mutl Fire Ins,NORFOLK & DEDHAM GRP
Rural Mutual Ins Co,Rural Mutual Ins Co
Wawanesa General Ins Co,Auto Club Enterprises Ins Grp
Colonial County Mutual Ins Co,NATIONWIDE CORP GRP
GEICO Secure Ins Co,BERKSHIRE HATHAWAY GRP
Quincy Mutual Fire Ins Co,QUINCY MUT GRP
Erie Ins Co,ERIE INS GRP
Palisades Safety & Ins Assn,PALISADES GRP
Personal Service Ins Co,American Independent Ins Grp
GA Farm Bureau Mutual Ins Co,GEORGIA FARM BUREAU GRP
Mendakota Ins Co,Premier Holdings Grp
Umialik Ins Co,WESTERN NATL MUT GRP
Allstate Ins Co,ALLSTATE INS GRP
Central Mutual Ins Co,CENTRAL MUT INS CO GRP
Maryland Automobile Ins Fund,Maryland Automobile Ins Fund
Patriot Ins Co,FRANKENMUTH GRP
Farm Bureau Mutl Ins Co of ID,FARM BUREAU GRP
Shelter Mutual Ins Co,SHELTER INS GRP
Trexis Ins Corp,ALFA INS GRP
Allstate NJ P&C Ins Co,ALLSTATE INS GRP
Foremost County Mutual Ins Co,FARMERS INS GRP
Union Mutual Fire Ins Co,UNION MUTUAL FIRE INS GRP
Farmers Ins Exchange,FARMERS INS GRP
Nodak Ins Co,Nodak Mut Grp
Farmers Ins Co of AZ,FARMERS INS GRP
GEICO Casualty Co,BERKSHIRE HATHAWAY GRP
Mountain Laurel Assurance Co,PROGRESSIVE GRP
AIG Property Casualty Co,AMERICAN INTL GRP
